ID,Replicate,Bottleneck,timepoint,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
.3.23,3,5-clone,t7,,,,,,,,,
.3.24,3,5-clone,t7,,,,,,,,,
.4.1,4,5-clone,t7,,,,,,,,,
.4.2,4,5-clone,t7,,,,,,,,,
.4.3,4,5-clone,t7,,,,,,,,,
.4.4,4,5-clone,t7,,,,,,,,,
.4.5,4,5-clone,t7,,,,,,,,,
.4.6,4,5-clone,t7,,,,,,,,,
.4.7,4,5-clone,t7,,,,,,,,,
.4.8,4,5-clone,t7,,,,,,,,,
.4.9,4,5-clone,t7,,,,,,,,,
.4.10,4,5-clone,t7,,,,,,,,,
.4.11,4,5-clone,t7,,,,,,,,,
.4.12,4,5-clone,t7,,,,,,,,,
.4.13,4,5-clone,t7,,,,,,,,,
.4.14,4,5-clone,t7,,,,,,,,,
.4.15,4,5-clone,t7,,,,,,,,,
.4.16,4,5-clone,t7,,,,,,,,,
.4.17,4,5-clone,t7,,,,,,,,,
.4.18,4,5-clone,t7,,,,,,,,,
.4.19,4,5-clone,t7,,,,,,,,,
.4.20,4,5-clone,t7,,,,,,,,,
.4.21,4,5-clone,t7,,,,,,,,,
.4.22,4,5-clone,t7,,,,,,,,,
.4.23,4,5-clone,t7,,,,,,,,,
.4.24,4,5-clone,t7,,,,,,,,,
.5.1,5,5-clone,t7,,,,,,,,,
.5.2,5,5-clone,t7,,,,,,,,,
.5.3,5,5-clone,t7,,,,,,,,,
.5.4,5,5-clone,t7,,,,,,,,,
.5.5,5,5-clone,t7,,,,,,,,,
.5.6,5,5-clone,t7,,,,,,,,,
.5.7,5,5-clone,t7,,,,,,,,,
.5.8,5,5-clone,t7,,,,,,,,,
.5.9,5,5-clone,t7,,,,,,,,,
.5.10,5,5-clone,t7,,,,,,,,,
.5.11,5,5-clone,t7,,,,,,,,,
.5.12,5,5-clone,t7,,,,,,,,,
.5.13,5,5-clone,t7,,,,,,,,,
.5.14,5,5-clone,t7,,,,,,,,,
.5.15,5,5-clone,t7,,,,,,,,,
.5.16,5,5-clone,t7,,,,,,,,,
.5.17,5,5-clone,t7,,,,,,,,,
.5.18,5,5-clone,t7,,,,,,,,,
.5.19,5,5-clone,t7,,,,,,,,,
.5.20,5,5-clone,t7,,,,,,,,,
.5.21,5,5-clone,t7,,,,,,,,,
.5.22,5,5-clone,t7,,,,,,,,,
.5.23,5,5-clone,t7,,,,,,,,,
.5.24,5,5-clone,t7,,,,,,,,,
.6.1,6,5-clone,t7,,,,,,,,,
.6.2,6,5-clone,t7,,,,,,,,,
.6.3,6,5-clone,t7,,,,,,,,,
.6.4,6,5-clone,t7,,,,,,,,,
.6.5,6,5-clone,t7,,,,,,,,,
.6.6,6,5-clone,t7,,,,,,,,,
.6.7,6,5-clone,t7,,,,,,,,,
.6.8,6,5-clone,t7,,,,,,,,,
.6.9,6,5-clone,t7,,,,,,,,,
.6.10,6,5-clone,t7,,,,,,,,,
.6.11,6,5-clone,t7,,,,,,,,,
.6.12,6,5-clone,t7,,,,,,,,,
.6.13,6,5-clone,t7,,,,,,,,,
.6.14,6,5-clone,t7,,,,,,,,,
.6.15,6,5-clone,t7,,,,,,,,,
.6.16,6,5-clone,t7,,,,,,,,,
.6.17,6,5-clone,t7,,,,,,,,,
.6.18,6,5-clone,t7,,,,,,,,,
.6.19,6,5-clone,t7,,,,,,,,,
.6.20,6,5-clone,t7,,,,,,,,,
.6.21,6,5-clone,t7,,,,,,,,,
.6.22,6,5-clone,t7,,,,,,,,,
.6.23,6,5-clone,t7,,,,,,,,,
.6.24,6,5-clone,t7,,,,,,,,,
7.1,7,5-clone,t7,,,,,,,,,
7.2,7,5-clone,t7,,,,,,,,,
7.3,7,5-clone,t7,,,,,,,,,
7.4,7,5-clone,t7,,,,,,,,,
7.5,7,5-clone,t7,,,,,,,,,
7.6,7,5-clone,t7,,,,,,,,,
7.7,7,5-clone,t7,,,,,,,,,
7.8,7,5-clone,t7,,,,,,,,,
7.9,7,5-clone,t7,,,,,,,,,
7.1,7,5-clone,t7,,,,,,,,,
7.11,7,5-clone,t7,,,,,,,,,
7.12,7,5-clone,t7,,,,,,,,,
7.13,7,5-clone,t7,,,,,,,,,
7.14,7,5-clone,t7,,,,,,,,,
7.15,7,5-clone,t7,,,,,,,,,
7.16,7,5-clone,t7,,,,,,,,,
7.17,7,5-clone,t7,,,,,,,,,
7.18,7,5-clone,t7,,,,,,,,,
7.19,7,5-clone,t7,,,,,,,,,
7.2,7,5-clone,t7,,,,,,,,,
7.21,7,5-clone,t7,,,,,,,,,
7.22,7,5-clone,t7,,,,,,,,,
7.23,7,5-clone,t7,,,,,,,,,
7.24,7,5-clone,t7,,,,,,,,,
8.1,8,5-clone,t7,,,,,,,,,
8.2,8,5-clone,t7,,,,,,,,,
8.3,8,5-clone,t7,,,,,,,,,
8.4,8,5-clone,t7,,,,,,,,,
8.5,8,5-clone,t7,,,,,,,,,
8.6,8,5-clone,t7,,,,,,,,,
8.7,8,5-clone,t7,,,,,,,,,
8.8,8,5-clone,t7,,,,,,,,,
8.9,8,5-clone,t7,,,,,,,,,
8.1,8,5-clone,t7,,,,,,,,,
8.11,8,5-clone,t7,,,,,,,,,
8.12,8,5-clone,t7,,,,,,,,,
8.13,8,5-clone,t7,,,,,,,,,
8.14,8,5-clone,t7,,,,,,,,,
8.15,8,5-clone,t7,,,,,,,,,
8.16,8,5-clone,t7,,,,,,,,,
8.17,8,5-clone,t7,,,,,,,,,
8.18,8,5-clone,t7,,,,,,,,,
8.19,8,5-clone,t7,,,,,,,,,
